全部数据明细：

年份     周次     南方ILI%     北方ILI%     南方检测       南方阳性       北方检测       北方阳性      
2024   W13   4.7        3.8        5968       1010       5626       442       
2024   W14   4.7        3.8        5177       688        4342       328       
2024   W15   4.3        3.6        5607       591        4222       236       
2024   W16   4.6        3.5        5351       519        4091       225       
2024   W17   4.7        3.6        5809       496        4238       207       
2024   W18   5.0        3.8        4474       400        3306       145       
2024   W19   4.9        3.6        5540       597        4080       150       
2024   W20   5.1        4.0        5513       563        4007       106       
2024   W21   4.8        3.9        5580       459        4033       111       
2024   W22   5.1        3.8        5605       563        3990       83        
2024   W23   4.9        3.9        5534       460        2548       44        
2024   W24   5.1        4.0        5754       467        2161       37        
2024   W25   5.2        3.9        5863       480        2149       25        
2024   W26   5.1        3.8        5788       566        2134       27        
2024   W27   5.1        3.8        6131       665        2062       26        
2024   W28   4.9        4.1        5704       568        1927       21        
2024   W29   4.7        3.8        5838       526        2031       19        
2024   W30   4.5        3.9        5960       498        2085       21        
2024   W31   4.2        3.8        5647       416        1492       16        
2024   W32   3.9        3.5        5670       362        1886       15        
2024   W33   3.6        3.6        5502       345        1688       14        
2024   W34   3.2        3.6        5559       267        1842       19        
2024   W35   3.1        3.4        5554       250        1637       9         
2024   W36   3.2        3.4        5639       238        1899       4         
2024   W37   3.5        3.4        5214       276        1846       15        
2024   W38   3.7        3.6        5370       273        1638       2         
2024   W39   3.7        3.2        6285       314        2173       14        
2024   W40   4.1        3.6        4450       211        3972       16        
2024   W41   3.3        3.2        7577       305        7042       39        
2024   W42   3.2        3.4        7630       263        7094       86        
2024   W43   3.3        3.3        7358       335        7370       67        
2024   W44   3.4        3.5        7781       377        7576       156       
2024   W45   3.6        3.6        7823       341        7561       149       
2024   W46   3.6        3.8        8181       443        7598       270       
2024   W47   3.4        4.1        8286       642        7822       392       
2024   W48   3.5        4.4        7953       723        8152       679       
2024   W49   3.6        4.6        8465       976        8075       1157      
2024   W50   4.0        5.4        9949       1171       9217       1511      
2024   W51   4.7        6.5        10313      1806       9207       2350      
2024   W52   5.7        7.2        8628       2115       8429       2768      
2025   W01   7.2        7.5        11191      3570       9814       3469      
2025   W02   6.9        6.2        11502      4112       10195      3437      
2025   W03   6.5        5.1        11395      4004       10224      2846      
2025   W04   5.3        4.2        12372      4250       10629      2393      
2025   W05   7.4        5.5        6707       2158       6567       1078      
2025   W06   5.5        3.9        11045      3498       9661       1517      
2025   W07   4.7        3.4        11049      3315       9699       1156      
2025   W08   4.3        3.1        10876      2834       9526       957       
2025   W09   4.2        3.1        10841      2240       9518       741       
2025   W10   3.9        3.2        10526      1400       9453       563       
2025   W11   4.0        3.2        10442      1019       9695       449       
2025   W12   4.1        3.3        11056      683        9708       346       
2025   W13   4.1        3.4        10538      455        9128       241       
2025   W14   3.9        3.4        9697       276        4542       136       
2025   W15   3.9        3.2        10588      248        3344       90        
2025   W16   4.1        3.3        10477      192        3292       88        
2025   W17   3.9        3.3        10249      141        3054       95        
2025   W18   4.2        3.4        8707       88         2272       61        
2025   W19   4.1        3.1        10426      72         3060       94        
2025   W20   4.7        3.1        10148      67         3067       96        
2025   W21   4.7        3.2        10887      55         3120       76        
2025   W22   4.8        3.1        9813       43         2732       70        
2025   W23   4.5        3.1        10441      76         2833       62        
2025   W24   4.3        2.9        10104      75         3030       49        
2025   W25   4.3        2.9        10001      85         2920       32        
2025   W26   4.3        3.0        10033      112        2885       19        
2025   W27   4.2        2.9        9879       134        2719       26        
2025   W28   4.0        2.7        9812       130        3159       15        
2025   W29   3.8        2.6        9933       165        2595       7         
2025   W30   3.6        2.6        10045      164        2897       8         
2025   W31   3.5        2.6        9881       145        2415       6         
2025   W32   3.5        2.5        9911       169        2722       4         
2025   W33   3.4        2.5        10043      189        2995       2         
2025   W34   3.2        2.5        9941       238        2749       5         
2025   W35   3.1        2.5        9884       266        2890       10        
2025   W36   3.4        2.7        9966       282        2913       4         
2025   W37   3.6        2.8        10128      329        3192       7         
2025   W38   3.8        2.9        9996       361        3248       15        
2025   W39   3.8        2.9        10358      443        3535       18        
2025   W40   4.4        3.3        7597       365        6709       45        
2025   W41   4.1        2.8        10033      539        8681       74        
2025   W42   3.8        2.7        10169      663        9223       198       
2025   W43   4.1        3.6        10154      1013       9614       580       
2025   W44   4.6        5.1        10480      1725       9841       1485      
2025   W45   5.5        6.1        10976      2460       10436      2834      
2025   W46   6.7        7.0        11196      3439       10117      3563      
2025   W47   7.8        8.6        11498      4476       10362      4459      
2025   W48   10.3       9.1        12160      5774       10382      4995      
2025   W49   11.1       7.9        12011      6545       10370      4593      
2025   W50   9.7        6.3        11663      6263       10208      3833      
2025   W51   7.6        4.9        11362      5449       9934       2953      
2025   W52   6.1        4.2        10876      4557       9569       2040      
